File name	Artist	Song name
ChhaideuTimi.mid	1974 AD	Chhaideu Timi
DheraiDheraiAauncha.mid	1974 AD	Dherai Dherai Aauncha
JasoGaraJeBhana.mid	1974 AD	Jaso Gara Je Bhana
JungiNishan.mid	1974 AD	Jungi Nishan
MantaMeroNepali.mid	1974 AD	Manta Mero Nepali
Nepali.mid	1974 AD	Nepali
PahiloJunima.mid	1974 AD	Pahilo Junima
Parelima.mid	1974 AD	Parelima
PijadaaKoSuga.mid	1974 AD	Pijadaa Ko Suga
PinjadaKoSuga.mid	1974 AD	Pinjada Ko Suga
Sambhodan.mid	1974 AD	Sambhodan
Sambodhan.mid	1974 AD	Sambodhan
SamjhiBaschhu.mid	1974 AD	Samjhi Baschhu
SaraKhusi.mid	1974 AD	Sara Khusi
SisireJhai.mid	1974 AD	Sisire Jhai
TyoRaatKo.mid	1974 AD	Tyo Raat Ko
TyoRatko.mid	1974 AD	Tyo Ratko
AgeOfAquarius.mid	5th Dimension	Age Of Aquarius
Aquarious.mid	5th Dimension	Aquarious
LastNightIDidntGetToSleepAtAll.mid	5th Dimension	Last Night I Didnt Get To Sleep At All
OneLessBellToAnswere.mid	5th Dimension	One Less Bell To Answere
StonedSoulPicnic.mid	5th Dimension	Stoned Soul Picnic
UpUpAndAway.mid	5th Dimension	Up Up And Away
WeddingBellBlues.mid	5th Dimension	Wedding Bell Blues
BalladForKay.mid	Accoustic Alchemy	Ballad For Kay
NaturalElements.mid	Accoustic Alchemy	Natural Elements
OnTheCase.mid	Accoustic Alchemy	On The Case
PlayingForTime.mid	Accoustic Alchemy	Playing For Time
TheBlueChipBop.mid	Accoustic Alchemy	The Blue Chip Bop
BoogieDown.mid	Al Jarreau	Boogie Down
Moonlighting.mid	Al Jarreau	Moonlighting
Morning.mid	Al Jarreau	Morning
RoofGarden.mid	Al Jarreau	Roof Garden
SinceIFellForYou.mid	Al Jarreau	Since I Fell For You
WereInThisLoveTogether.mid	Al Jarreau	We're In This Love Together
YourSong.mid	Al Jarreau	Your Song
AlJolsonMedley.mid	Al Jolson	Al Jolson Medley
MyMammy.mid	Al Jolson	My Mammy
RockA-ByeMyBaby.mid	Al Jolson	Rock A-Bye My Baby
Swanee.mid	Al Jolson	Swanee
Feelings.mid	Albert Morris	Feelings
AWomansWorth.mid	Alicia Keys	A Womans Worth
Empirestateofmind(partII).mid	Alicia Keys	Empire state of mind (part II)
Fallen.mid	Alicia Keys	Fallen
